source,target
1437173718162214913,1436712912631046158
1437173717617057805,1437113971752980481
1437173717411446792,1436995860303384580
1437173717369491458,1437072803820232708
1437173716518162440,1437163668421033984
1437173709203193862,1437170171496570882
1437173703800991744,1436995860303384580
1437173696913817600,1437072803820232708
1437173686667255824,1437000319448330243
1437173686428073984,1437110038439546891
1437173685975199751,1437000247540994058
1437173681726255104,1437072222166732802
1437173675648856065,1437173526449082370
1437173668048736257,1437062831438897160
1437173665733361665,1437173606295896065
1437173665410469889,1437072803820232708
1437173662424223744,1436712579456454662
1437173657227382786,1437072803820232708
1437173650239672324,1437173539677917186
1437173647991529474,343256061479890944
1437173640831938562,1437149882133979145
1437173636453044224,1437148147697045510
1437173634951303171,1437166629188558849
1437173621873692676,1437073241697361922
1437173616672710658,1437008091862781957
1437173610813267971,1437149882133979145
1437173601807978496,1437162999094067201
1437173600973381636,1436874954281213955
1437173595898318868,1436974364528893952
1437173580714872834,1436844481769353221
1437173580685402112,1436884710785912833
1437173578059952129,1434713378979819522
1437173562419204096,1437170171496570882
1437173557658853381,1434307549608636425
1437173542890754053,1437111677649051649
1437173542831812608,1436873897027072006
1437173535709876226,1437166629188558849
1437173534711681026,1437111677649051649
1437173532245569536,1437159642023534596
1437173532048384001,1437072803820232708
1437173528827150336,1437131259914883076
1437173526759309312,1437162999094067201
1437173522829303808,1437158322730381314
1437173520090296320,1434784397107109890
1437173517951270917,1437165396495421443
1437173515984179215,1436982577018118149
1437173511966052361,1436719992070881288
1437173509806071824,1437170171496570882
1437173503015407619,1437148147697045510
1437173491443326984,1437000319448330243
1437173488004091918,1437169642607464448
1437173481888755713,1437004014776950792
1437173480513024006,1434969935176945668
1437173479820963847,1437072803820232708
1437173473705664524,1436171597027504129
1437173470555688968,1437142734767263746
1437173461399580678,1437085646372290567
1437173459545624592,1437128713167065094
1437173458807320577,1437068625643548677
1437173432282664962,1426791453850750980
1437173431120764929,1434193492755025923
1437173430063808512,1436899261048766466
1437173429845725186,1437072803820232708
1437173428776280070,1409263770887766019
1437173422941945862,1436977707221409792
1437173420693733379,1437073241697361922
1437173407595044867,1437072803820232708
1437173406303096834,1437072803820232708
